,GameID,SeasonID,HomeID,AwayID,WinID,LossID,HomePts,AwayPts,GameDate,Home,Home3PM,Home3PA,Away,Away3PM,Away3PA,HomeWin,AwayWin,3PAResult,3PAABS,3PMResult,3PMABS,3P%Result,3P%ABS
3934,2016121032,12,32,30,32,30,79,69,12/10/2016,Bridgeport,10,19,Daemen,8,26,1,0,0,7,1,2,1,21.8
5152,20120304157,7,34,32,34,32,86,67,3/4/2012,LIU Post,6,14,Bridgeport,4,21,1,0,0,7,1,2,1,23.9
1687,2010010922,5,22,26,26,22,50,56,1/9/2010,Nyack,4,21,USciences,6,14,0,1,0,7,1,2,1,23.9
3337,2015020732,10,32,36,36,32,103,114,2/7/2015,Bridgeport,10,26,NYIT,12,19,0,1,0,7,1,2,1,24.7
229,201002203,5,3,2,3,2,63,57,2/20/2010,American Int'l,5,11,Adelphi,3,18,1,0,0,7,1,2,1,28.8
1457,2009011014,4,14,1,1,14,72,76,1/10/2009,So. New Hampshire,3,18,Saint Rose,5,11,0,1,0,7,1,2,1,28.8
5014,20081122235,4,37,16,16,37,55,76,11/22/2008,Queens (N.Y.),2,13,Dominican (N.Y.),4,6,0,1,0,7,1,2,1,51.3
3404,2015022421,10,21,17,17,21,96,110,2/24/2015,Concordia (N.Y.),11,25,Felician,8,18,0,1,0,7,0,3,1,0.4
1127,201712025,13,5,1,1,5,57,66,12/2/2017,New Haven,11,27,Saint Rose,8,20,0,1,0,7,0,3,0,0.7
2961,2014020617,9,17,18,18,17,85,94,2/6/2014,Felician,9,22,Caldwell,6,15,0,1,0,7,0,3,0,0.9
4077,2017012835,12,35,30,30,35,72,82,1/28/2017,Mercy,10,25,Daemen,7,18,0,1,0,7,0,3,0,1.1
2498,2012122915,8,15,24,15,24,57,52,12/29/2012,Stonehill,6,17,Jefferson,9,24,1,0,0,7,0,3,0,2.2
4776,2019010913,14,13,1,13,1,70,64,1/9/2019,Saint Michael's,6,17,Saint Rose,9,24,1,0,0,7,0,3,0,2.2
1566,2009022425,4,25,24,24,25,62,70,2/24/2009,Holy Family,7,18,Jefferson,4,11,0,1,0,7,0,3,0,2.5
1911,2010122915,6,15,24,15,24,70,58,12/29/2010,Stonehill,3,8,Jefferson,6,15,1,0,0,7,0,3,0,2.5
4550,2018021718,13,18,24,18,24,73,63,2/17/2018,Caldwell,9,17,Jefferson,12,24,1,0,0,7,0,3,1,2.9
841,201503013,10,3,15,3,15,68,63,3/1/2015,American Int'l,6,20,Stonehill,9,27,1,0,0,7,0,3,0,3.3
966,201611116,12,6,29,6,29,71,63,11/11/2016,Pace,5,19,Georgian Court,8,26,1,0,0,7,0,3,0,4.5
13,20102137,5,7,3,3,7,58,72,2/13/2010,So. Connecticut,6,17,American Int'l,3,10,0,1,0,7,0,3,0,5.3
5104,20100224225,5,37,32,37,32,65,61,2/24/2010,Queens (N.Y.),3,10,Bridgeport,6,17,1,0,0,7,0,3,0,5.3
3874,2016112231,12,31,16,31,16,83,72,11/22/2016,St. Thomas Aquinas,5,9,Dominican (N.Y.),8,16,1,0,0,7,0,3,1,5.6
3150,2014120628,10,28,20,20,28,86,90,12/6/2014,Chestnut Hill,7,26,Bloomfield,4,19,0,1,0,7,0,3,0,5.8
4389,2018010914,13,14,4,4,14,53,58,1/9/2018,So. New Hampshire,6,23,Le Moyne,3,16,0,1,0,7,0,3,0,7.3
648,201401025,9,5,14,5,14,61,55,1/2/2014,New Haven,2,15,So. New Hampshire,5,22,1,0,0,7,0,3,0,9.4
386,201111223,7,3,6,3,6,66,62,11/22/2011,American Int'l,2,11,Pace,5,18,1,0,0,7,0,3,0,9.6
2808,2013121135,9,35,23,23,35,62,69,12/11/2013,Mercy,4,20,Wilmington (Del.),1,13,0,1,0,7,0,3,0,12.3
1410,2008121335,4,35,14,14,35,65,71,12/13/2008,Mercy,5,17,So. New Hampshire,2,24,0,1,1,7,0,3,0,21.1
2692,2013030216,8,16,28,16,28,91,85,3/2/2013,Dominican (N.Y.),7,25,Chestnut Hill,10,18,1,0,1,7,0,3,0,27.6
5185,20131222110,9,24,1,24,1,81,78,12/22/2013,Jefferson,7,16,Saint Rose,4,9,1,0,1,7,1,3,0,0.6
2051,2011021639,6,39,34,34,39,65,77,2/16/2011,Molloy,6,15,LIU Post,9,22,0,1,1,7,1,3,1,0.9
1676,2010010718,5,18,17,17,18,68,80,1/7/2010,Caldwell,4,10,Felician,7,17,0,1,1,7,1,3,1,1.2
2676,2013022314,8,14,11,14,11,71,67,2/23/2013,So. New Hampshire,8,20,Merrimack,5,13,1,0,1,7,1,3,1,1.5
1056,201701283,12,3,13,3,13,83,81,1/28/2017,American Int'l,9,23,Saint Michael's,6,16,1,0,1,7,1,3,1,1.6
2832,2013122122,9,22,13,13,22,72,91,12/21/2013,Nyack,7,14,Saint Michael's,10,21,0,1,1,7,1,3,0,2.4
298,201101059,6,9,5,9,5,61,56,1/5/2011,Bentley,10,29,New Haven,7,22,1,0,1,7,1,3,1,2.7
4981,2019030231,14,31,39,31,39,77,75,3/2/2019,St. Thomas Aquinas,10,29,Molloy,7,22,1,0,1,7,1,3,1,2.7
2340,2012021132,7,32,37,32,37,85,72,2/11/2012,Bridgeport,7,15,Queens (N.Y.),4,8,1,0,1,7,1,3,0,3.3
5175,20130226110,8,24,28,24,28,74,73,2/26/2013,Jefferson,8,23,Chestnut Hill,5,16,1,0,1,7,1,3,1,3.5
3598,2016010623,11,23,20,23,20,79,73,1/6/2016,Wilmington (Del.),9,28,Bloomfield,6,21,1,0,1,7,1,3,1,3.5
2207,2012010311,7,11,2,2,11,55,64,1/3/2012,Merrimack,4,12,Adelphi,7,19,0,1,1,7,1,3,1,3.5
169,200912309,5,9,19,9,19,69,55,12/30/2009,Bentley,8,24,Post,5,17,1,0,1,7,1,3,1,3.9
602,201302267,8,7,2,7,2,70,57,2/26/2013,So. Connecticut,7,22,Adelphi,4,15,1,0,1,7,1,3,1,5.1
1987,2011012718,6,18,19,19,18,58,69,1/27/2011,Caldwell,4,15,Post,7,22,0,1,1,7,1,3,1,5.1
1757,2010020417,5,17,18,17,18,80,52,2/4/2010,Felician,6,17,Caldwell,3,10,1,0,1,7,1,3,1,5.3
601,201302265,8,5,1,5,1,60,59,2/26/2013,New Haven,7,23,Saint Rose,4,16,1,0,1,7,1,3,1,5.4
960,201602289,11,9,10,9,10,86,71,2/28/2016,Bentley,7,27,Franklin Pierce,4,20,1,0,1,7,1,3,1,5.9
1553,2009022110,4,10,3,10,3,55,48,2/21/2009,Franklin Pierce,6,18,American Int'l,3,11,1,0,1,7,1,3,1,6
1981,2011012427,6,27,39,27,39,75,56,1/24/2011,Goldey-Beacom,6,22,Molloy,3,15,1,0,1,7,1,3,1,7.3
5122,20110124500,6,27,39,27,39,75,56,1/24/2011,Goldey-Beacom,6,22,Molloy,3,15,1,0,1,7,1,3,1,7.3
2119,2011111827,7,27,10,10,27,59,63,11/18/2011,Goldey-Beacom,2,10,Franklin Pierce,5,17,0,1,1,7,1,3,1,9.4
1283,201901096,14,6,14,14,6,78,81,1/9/2019,Pace,7,34,So. New Hampshire,10,27,0,1,0,7,1,3,1,16.4
3734,2016021034,11,34,39,34,39,60,57,2/10/2016,LIU Post,10,22,Molloy,7,29,1,0,0,7,1,3,1,21.4
1699,2010011611,5,11,2,11,2,82,74,1/16/2010,Merrimack,11,21,Adelphi,8,28,1,0,0,7,1,3,1,23.8
3824,2016111211,12,11,20,20,11,83,97,11/12/2016,Merrimack,7,26,Bloomfield,10,19,0,1,0,7,1,3,1,25.7
604,201303012,8,2,1,1,2,57,67,3/1/2013,Adelphi,2,21,Saint Rose,5,14,0,1,0,7,1,3,1,26.2
3093,2014111912,10,12,14,14,12,69,82,11/19/2014,Saint Anselm,5,24,So. New Hampshire,8,17,0,1,0,7,1,3,1,26.3
4052,2017012133,12,33,27,27,33,66,95,1/21/2017,Roberts Wesleyan,4,22,Goldey-Beacom,7,15,0,1,0,7,1,3,1,28.5
72,200901104,4,4,15,15,4,77,86,1/10/2009,Le Moyne,5,21,Stonehill,8,14,0,1,0,7,1,3,1,33.3
1905,2010121817,6,17,31,17,31,71,55,12/18/2010,Felician,7,11,St. Thomas Aquinas,4,18,1,0,0,7,1,3,1,41.4
1513,2009020323,4,23,27,27,23,64,84,2/3/2009,Wilmington (Del.),4,15,Goldey-Beacom,7,8,0,1,0,7,1,3,1,60.8
4143,2017021527,12,27,26,26,27,73,74,2/15/2017,Goldey-Beacom,10,19,USciences,6,12,0,1,0,7,0,4,0,2.6
2624,2013020621,8,21,20,21,20,110,101,2/6/2013,Concordia (N.Y.),11,25,Bloomfield,15,32,1,0,0,7,0,4,0,2.9
4246,2017111837,13,37,21,21,37,91,100,11/18/2017,Queens (N.Y.),13,28,Concordia (N.Y.),9,21,0,1,0,7,0,4,0,3.5
3255,2015011722,10,22,19,22,19,74,64,1/17/2015,Nyack,6,16,Post,10,23,1,0,0,7,0,4,0,6
4797,2019011615,14,15,1,1,15,66,72,1/16/2019,Stonehill,11,29,Saint Rose,7,22,0,1,0,7,0,4,0,6.1
2845,2014010413,9,13,15,13,15,86,82,1/4/2014,Saint Michael's,7,22,Stonehill,11,29,1,0,0,7,0,4,0,6.1
3414,2015022713,10,13,1,13,1,68,65,2/27/2015,Saint Michael's,6,21,Saint Rose,10,28,1,0,0,7,0,4,0,7.1
3950,2016121819,12,19,21,19,21,87,82,12/18/2016,Post,5,14,Concordia (N.Y.),9,21,1,0,0,7,0,4,0,7.2
365,201102289,6,9,13,9,13,67,54,2/28/2011,Bentley,5,17,Saint Michael's,9,24,1,0,0,7,0,4,0,8.1
1290,201901125,14,5,8,5,8,69,56,1/12/2019,New Haven,5,17,Assumption,9,24,1,0,0,7,0,4,0,8.1
106,200902144,4,4,12,4,12,79,68,2/14/2009,Le Moyne,4,19,Saint Anselm,8,26,1,0,0,7,0,4,0,9.7
2886,2014011417,9,17,22,22,17,63,83,1/14/2014,Felician,8,24,Nyack,4,17,0,1,0,7,0,4,0,9.8
2718,2013110930,9,30,27,30,27,59,56,11/9/2013,Daemen,3,10,Goldey-Beacom,7,17,1,0,0,7,0,4,0,11.2
4707,2018120839,14,39,36,39,36,82,71,12/8/2018,Molloy,3,12,NYIT,7,19,1,0,0,7,0,4,0,11.8
98,200902073,4,3,8,3,8,74,73,2/7/2009,American Int'l,1,7,Assumption,5,14,1,0,0,7,0,4,0,21.4
3364,2015021425,10,25,21,25,21,101,72,2/14/2015,Holy Family,14,33,Concordia (N.Y.),10,26,1,0,1,7,1,4,1,3.9
