,GameID,SeasonID,HomeID,AwayID,WinID,LossID,HomePts,AwayPts,GameDate,Home,Home3PM,Home3PA,Away,Away3PM,Away3PA,HomeWin,AwayWin,3PAResult,3PAABS,3PMResult,3PMABS,3P%Result,3P%ABS
961,201603029,11,9,15,9,15,89,84,3/2/2016,Bentley,16,31,Stonehill,17,32,1,0,0,1,0,1,0,1.5
1293,201901157,14,7,12,12,7,99,113,1/15/2019,So. Connecticut,14,27,Saint Anselm,13,26,0,1,0,1,0,1,0,1.9
895,201601065,11,5,11,11,5,81,83,1/6/2016,New Haven,12,27,Merrimack,11,26,0,1,0,1,0,1,0,2.1
916,201601207,11,7,14,7,14,95,92,1/20/2016,So. Connecticut,11,25,So. New Hampshire,12,26,1,0,0,1,0,1,0,2.2
3311,2015013136,10,36,38,36,38,91,81,1/31/2015,NYIT,10,22,Dist. Columbia,11,23,1,0,0,1,0,1,0,2.3
4821,2019012216,14,16,20,16,20,91,84,1/22/2019,Dominican (N.Y.),9,28,Bloomfield,10,29,1,0,0,1,0,1,0,2.4
423,201112935,6,35,36,36,35,87,100,1/29/2011,Mercy,10,22,NYIT,9,21,0,1,0,1,0,1,0,2.6
1841,2010111327,6,27,10,10,27,93,97,11/13/2010,Goldey-Beacom,9,23,Franklin Pierce,8,22,0,1,0,1,0,1,0,2.7
1535,2009021225,4,25,28,25,28,89,78,2/12/2009,Holy Family,8,20,Chestnut Hill,9,21,1,0,0,1,0,1,0,2.9
3210,2015010338,10,38,30,30,38,72,95,1/3/2015,Dist. Columbia,8,21,Daemen,7,20,0,1,0,1,0,1,0,3.1
2593,2013012910,8,10,3,10,3,70,61,1/29/2013,Franklin Pierce,7,21,American Int'l,8,22,1,0,0,1,0,1,0,3.1
2101,2011111213,7,13,37,37,13,64,70,11/12/2011,Saint Michael's,7,21,Queens (N.Y.),6,20,0,1,0,1,0,1,0,3.3
4935,2019021929,14,29,24,24,29,64,68,2/19/2019,Georgian Court,7,21,Jefferson,6,20,0,1,0,1,0,1,0,3.3
4032,2017011616,12,16,17,16,17,71,70,1/16/2017,Dominican (N.Y.),7,15,Felician,8,16,1,0,0,1,0,1,0,3.3
4096,2017020413,12,13,14,13,14,84,81,2/4/2017,Saint Michael's,6,19,So. New Hampshire,7,20,1,0,0,1,0,1,0,3.4
4469,2018012726,13,26,18,18,26,40,47,1/27/2018,USciences,6,22,Caldwell,5,21,0,1,0,1,0,1,0,3.5
2339,2012021131,7,31,34,34,31,63,73,2/11/2012,St. Thomas Aquinas,6,20,LIU Post,5,19,0,1,0,1,0,1,0,3.7
2179,2011121025,7,25,17,25,17,60,55,12/10/2011,Holy Family,5,19,Felician,6,20,1,0,0,1,0,1,0,3.7
368,201103123,6,3,20,20,3,96,100,3/12/2011,American Int'l,7,16,Bloomfield,6,15,0,1,0,1,0,1,0,3.8
1955,2011011314,6,14,1,1,14,66,72,1/13/2011,So. New Hampshire,5,20,Saint Rose,4,19,0,1,0,1,0,1,0,3.9
1952,2011011116,6,16,17,16,17,78,65,1/11/2011,Dominican (N.Y.),4,19,Felician,5,20,1,0,0,1,0,1,0,3.9
4612,2018111014,14,14,36,14,36,83,65,11/10/2018,So. New Hampshire,5,17,NYIT,6,18,1,0,0,1,0,1,0,3.9
1866,2010112819,6,19,34,19,34,77,73,11/28/2010,Post,5,15,LIU Post,6,16,1,0,0,1,0,1,0,4.2
3068,2014111422,10,22,35,35,22,45,56,11/14/2014,Nyack,6,15,Mercy,5,14,0,1,0,1,0,1,0,4.3
556,201301197,8,7,11,7,11,73,69,1/19/2013,So. Connecticut,4,14,Merrimack,5,15,1,0,0,1,0,1,0,4.7
2876,2014011127,9,27,23,27,23,58,51,1/11/2014,Goldey-Beacom,4,14,Wilmington (Del.),5,15,1,0,0,1,0,1,0,4.7
963,201603127,11,7,31,31,7,90,92,3/12/2016,So. Connecticut,6,24,St. Thomas Aquinas,5,25,0,1,1,1,0,1,0,5
4169,2017022122,12,22,17,22,17,83,78,2/21/2017,Nyack,8,26,Felician,9,25,1,0,1,1,0,1,0,5.2
4327,2017121634,13,34,36,34,36,73,63,12/16/2017,LIU Post,6,25,NYIT,7,24,1,0,1,1,0,1,0,5.2
1164,201801135,13,5,9,5,9,87,84,1/13/2018,New Haven,9,26,Bentley,10,25,1,0,1,1,0,1,0,5.4
843,201503143,10,3,24,3,24,58,53,3/14/2015,American Int'l,4,21,Jefferson,5,20,1,0,1,1,0,1,0,6
4699,2018120821,14,21,19,21,19,79,65,12/8/2018,Concordia (N.Y.),5,21,Post,6,20,1,0,1,1,0,1,0,6.2
2756,2013112029,9,29,35,29,35,87,82,11/20/2013,Georgian Court,6,21,Mercy,7,20,1,0,1,1,0,1,0,6.4
4153,2017021820,12,20,18,18,20,78,86,2/18/2017,Bloomfield,9,21,Caldwell,8,22,0,1,1,1,0,1,0,6.5
2653,2013021621,8,21,24,21,24,81,80,2/16/2013,Concordia (N.Y.),7,21,Jefferson,8,20,1,0,1,1,0,1,0,6.7
3368,2015021432,10,32,30,32,30,63,60,2/14/2015,Bridgeport,7,21,Daemen,8,20,1,0,1,1,0,1,0,6.7
2655,2013021625,8,25,22,25,22,74,64,2/16/2013,Holy Family,4,18,Nyack,5,17,1,0,1,1,0,1,0,7.2
4304,2017120913,13,13,11,11,13,64,71,12/9/2017,Saint Michael's,7,18,Merrimack,6,19,0,1,1,1,0,1,0,7.3
4543,2018021516,13,16,17,16,17,82,72,2/15/2018,Dominican (N.Y.),6,19,Felician,7,18,1,0,1,1,0,1,0,7.3
2221,2012010717,7,17,27,17,27,61,60,1/7/2012,Felician,3,16,Goldey-Beacom,4,15,1,0,1,1,0,1,0,7.9
4292,2017120512,13,12,13,12,13,90,75,12/5/2017,Saint Anselm,8,19,Saint Michael's,9,18,1,0,1,1,0,1,0,7.9
689,201402054,9,4,2,4,2,69,56,2/5/2014,Le Moyne,6,18,Adelphi,7,17,1,0,1,1,0,1,0,7.9
1774,2010021116,5,16,17,17,16,58,60,2/11/2010,Dominican (N.Y.),4,14,Felician,3,15,0,1,1,1,0,1,0,8.6
4426,2018011736,13,36,31,31,36,74,98,1/17/2018,NYIT,6,15,St. Thomas Aquinas,5,16,0,1,1,1,0,1,0,8.7
5187,20140104110,9,24,6,24,6,79,65,1/4/2014,Jefferson,7,17,Pace,8,16,1,0,1,1,0,1,0,8.8
1785,2010021622,5,22,17,17,22,73,80,2/16/2010,Nyack,10,15,Felician,9,16,0,1,1,1,0,1,0,10.4
1601,2009113031,5,31,23,23,31,54,60,11/30/2009,St. Thomas Aquinas,2,9,Wilmington (Del.),1,10,0,1,1,1,0,1,0,12.2
5064,20091130502,5,31,23,23,31,54,60,11/30/2009,St. Thomas Aquinas,2,9,Wilmington (Del.),1,10,0,1,1,1,0,1,0,12.2
286,201012136,6,36,31,36,31,50,45,12/1/2010,NYIT,2,10,St. Thomas Aquinas,3,9,1,0,1,1,0,1,0,13.3
4984,2019030312,14,12,7,7,12,87,97,3/3/2019,Saint Anselm,11,28,So. Connecticut,12,29,0,1,1,1,1,1,1,2.1
967,201611118,12,8,37,37,8,87,93,11/11/2016,Assumption,8,26,Queens (N.Y.),9,27,0,1,1,1,1,1,1,2.5
830,201502186,10,6,7,7,6,74,104,2/18/2015,Pace,9,21,So. Connecticut,10,22,0,1,1,1,1,1,1,2.6
2894,2014011538,9,38,39,39,38,73,101,1/15/2014,Dist. Columbia,9,20,Molloy,10,21,0,1,1,1,1,1,1,2.6
2265,2012012125,7,25,19,25,19,78,70,1/21/2012,Holy Family,9,22,Post,8,21,1,0,1,1,1,1,1,2.8
3037,2014022514,9,14,8,14,8,71,62,2/25/2014,So. New Hampshire,9,18,Assumption,8,17,1,0,1,1,1,1,1,2.9
3075,2014111521,10,21,33,21,33,78,64,11/15/2014,Concordia (N.Y.),9,17,Roberts Wesleyan,8,16,1,0,1,1,1,1,1,2.9
3544,2015121218,11,18,17,18,17,67,57,12/12/2015,Caldwell,8,24,Felician,7,23,1,0,1,1,1,1,1,2.9
4723,2018121638,14,38,25,38,25,73,67,12/16/2018,Dist. Columbia,7,26,Holy Family,6,25,1,0,1,1,1,1,1,2.9
3080,2014111532,10,32,12,12,32,75,90,11/15/2014,Bridgeport,8,19,Saint Anselm,9,20,0,1,1,1,1,1,1,2.9
4436,2018012022,13,22,23,23,22,66,82,1/20/2018,Nyack,7,23,Wilmington (Del.),8,24,0,1,1,1,1,1,1,2.9
4522,2018021016,13,16,23,16,23,72,63,2/10/2018,Dominican (N.Y.),7,23,Wilmington (Del.),6,22,1,0,1,1,1,1,1,3.1
4682,2018120422,14,22,17,22,17,80,69,12/4/2018,Nyack,8,21,Felician,7,20,1,0,1,1,1,1,1,3.1
884,201512206,11,6,39,39,6,63,74,12/20/2015,Pace,7,21,Molloy,8,22,0,1,1,1,1,1,1,3.1
1555,2009022112,4,12,13,13,12,71,75,2/21/2009,Saint Anselm,7,21,Saint Michael's,8,22,0,1,1,1,1,1,1,3.1
174,200913517,4,27,34,34,27,63,93,1/3/2009,Goldey-Beacom,7,17,LIU Post,8,18,0,1,1,1,1,1,1,3.2
1442,2009010327,4,27,34,34,27,63,93,1/3/2009,Goldey-Beacom,7,17,LIU Post,8,18,0,1,1,1,1,1,1,3.2
3626,2016011229,11,29,17,17,29,55,63,1/12/2016,Georgian Court,7,17,Felician,8,18,0,1,1,1,1,1,1,3.2
4463,2018012716,13,16,24,24,16,77,89,1/27/2018,Dominican (N.Y.),7,18,Jefferson,8,19,0,1,1,1,1,1,1,3.2
2839,2014010222,9,22,18,22,18,84,72,1/2/2014,Nyack,7,21,Caldwell,6,20,1,0,1,1,1,1,1,3.3
2946,2014013130,9,30,34,30,34,94,91,1/31/2014,Daemen,7,21,LIU Post,6,20,1,0,1,1,1,1,1,3.3
2632,2013021012,8,12,9,12,9,75,72,2/10/2013,Saint Anselm,6,23,Bentley,5,22,1,0,1,1,1,1,1,3.4
4704,2018120831,14,31,32,31,32,99,97,12/8/2018,St. Thomas Aquinas,7,19,Bridgeport,6,18,1,0,1,1,1,1,1,3.5
5118,20110110157,6,34,32,34,32,82,78,1/10/2011,LIU Post,7,18,Bridgeport,6,17,1,0,1,1,1,1,1,3.6
1031,201701105,12,5,15,5,15,72,66,1/10/2017,New Haven,6,20,Stonehill,5,19,1,0,1,1,1,1,1,3.7
2837,2013122239,9,39,33,39,33,94,83,12/22/2013,Molloy,7,17,Roberts Wesleyan,6,16,1,0,1,1,1,1,1,3.7
1470,2009011710,4,10,5,10,5,68,59,1/17/2009,Franklin Pierce,7,16,New Haven,6,15,1,0,1,1,1,1,1,3.8
1522,2009020528,4,28,26,28,26,67,65,2/5/2009,Chestnut Hill,7,14,USciences,6,13,1,0,1,1,1,1,1,3.8
2505,2013010216,8,16,4,16,4,56,51,1/2/2013,Dominican (N.Y.),6,19,Le Moyne,5,18,1,0,1,1,1,1,1,3.8
623,201311236,9,6,5,5,6,62,73,11/23/2013,Pace,5,17,New Haven,6,18,0,1,1,1,1,1,1,3.9
1490,2009012416,4,16,19,19,16,67,81,1/24/2009,Dominican (N.Y.),5,17,Post,6,18,0,1,1,1,1,1,1,3.9
4421,2018011627,13,27,29,27,29,75,65,1/16/2018,Goldey-Beacom,5,19,Georgian Court,4,18,1,0,1,1,1,1,1,4.1
1355,2008021424,4,24,16,24,16,64,50,2/14/2008,Jefferson,4,18,Dominican (N.Y.),3,17,1,0,1,1,1,1,1,4.6
382,201111168,7,8,3,8,3,59,52,11/16/2011,Assumption,5,15,American Int'l,4,14,1,0,1,1,1,1,1,4.7
2129,2011112011,7,11,24,11,24,63,58,11/20/2011,Merrimack,5,15,Jefferson,4,14,1,0,1,1,1,1,1,4.7
4629,2018111217,14,17,35,17,35,80,76,11/12/2018,Felician,9,27,Mercy,8,28,1,0,0,1,1,1,1,4.7
3012,2014021828,9,28,29,28,29,81,65,2/18/2014,Chestnut Hill,5,14,Georgian Court,4,13,1,0,1,1,1,1,1,4.9
3036,2014022511,9,11,13,11,13,67,59,2/25/2014,Merrimack,9,26,Saint Michael's,8,27,1,0,0,1,1,1,1,5
1557,2009022115,4,15,1,15,1,80,59,2/21/2009,Stonehill,5,13,Saint Rose,4,12,1,0,1,1,1,1,1,5.2
4010,2017011026,12,26,21,26,21,75,59,1/10/2017,USciences,4,15,Concordia (N.Y.),3,14,1,0,1,1,1,1,1,5.3
258,201011196,6,6,31,6,31,63,58,11/19/2010,Pace,5,12,St. Thomas Aquinas,4,11,1,0,1,1,1,1,1,5.3
4453,2018012428,13,28,24,24,28,75,78,1/24/2018,Chestnut Hill,6,24,Jefferson,7,23,0,1,0,1,1,1,1,5.4
4002,2017010736,12,36,38,38,36,69,71,1/7/2017,NYIT,3,22,Dist. Columbia,4,21,0,1,0,1,1,1,1,5.4
1146,201712293,13,3,19,3,19,71,67,12/29/2017,American Int'l,8,23,Post,7,24,1,0,0,1,1,1,1,5.6
866,201512029,11,9,12,9,12,86,78,12/2/2015,Bentley,10,24,Saint Anselm,9,25,1,0,0,1,1,1,1,5.7
4318,2017121221,13,21,3,3,21,59,60,12/12/2017,Concordia (N.Y.),5,22,American Int'l,6,21,0,1,0,1,1,1,1,5.9
192,201001188,5,8,32,32,8,58,72,1/18/2010,Assumption,2,13,Bridgeport,3,14,0,1,1,1,1,1,1,6
3048,2014022835,9,35,33,35,33,87,85,2/28/2014,Mercy,10,23,Roberts Wesleyan,9,24,1,0,0,1,1,1,1,6
4315,2017121033,13,33,31,31,33,84,89,12/10/2017,Roberts Wesleyan,11,25,St. Thomas Aquinas,12,24,0,1,0,1,1,1,1,6
3757,2016021712,11,12,15,12,15,71,66,2/17/2016,Saint Anselm,9,22,Stonehill,8,23,1,0,0,1,1,1,1,6.1
241,201003139,5,9,32,9,32,60,50,3/13/2010,Bentley,2,15,Bridgeport,1,14,1,0,1,1,1,1,1,6.2
2007,2011020316,6,16,20,20,16,69,78,2/3/2011,Dominican (N.Y.),7,22,Bloomfield,8,21,0,1,0,1,1,1,1,6.3
4393,2018011019,13,19,28,19,28,81,63,1/10/2018,Post,10,22,Chestnut Hill,9,23,1,0,0,1,1,1,1,6.4
5225,20161112110,12,24,38,24,38,83,78,11/12/2016,Jefferson,10,22,Dist. Columbia,9,23,1,0,0,1,1,1,1,6.4
193,201001209,5,9,2,9,2,71,67,1/20/2010,Bentley,9,21,Adelphi,8,22,1,0,0,1,1,1,1,6.5
3422,2015022836,10,36,30,36,30,78,67,2/28/2015,NYIT,9,21,Daemen,8,22,1,0,0,1,1,1,1,6.5
2093,2011031315,6,15,20,20,15,66,79,3/13/2011,Stonehill,4,19,Bloomfield,5,18,0,1,0,1,1,1,1,6.7
1136,201712095,13,5,4,4,5,70,78,12/9/2017,New Haven,11,23,Le Moyne,12,22,0,1,0,1,1,1,1,6.7
2054,2011021723,6,23,25,23,25,89,67,2/17/2011,Wilmington (Del.),7,19,Holy Family,6,20,1,0,0,1,1,1,1,6.8
496,201211106,8,6,20,6,20,60,59,11/10/2012,Pace,3,12,Bloomfield,2,11,1,0,1,1,1,1,1,6.8
4956,2019022431,14,31,33,31,33,90,64,2/24/2019,St. Thomas Aquinas,12,21,Roberts Wesleyan,11,22,1,0,0,1,1,1,1,7.1
1279,201901055,14,5,31,5,31,76,59,1/5/2019,New Haven,7,18,St. Thomas Aquinas,6,19,1,0,0,1,1,1,1,7.3
3341,2015021014,10,14,10,14,10,75,68,2/10/2015,So. New Hampshire,11,20,Franklin Pierce,10,21,1,0,0,1,1,1,1,7.4
605,201303035,8,5,14,14,5,75,79,3/3/2013,New Haven,8,20,So. New Hampshire,9,19,0,1,0,1,1,1,1,7.4
1388,2008113014,4,14,15,15,14,55,72,11/30/2008,So. New Hampshire,5,18,Stonehill,6,17,0,1,0,1,1,1,1,7.5
4474,2018012833,13,33,35,33,35,75,72,1/28/2018,Roberts Wesleyan,8,18,Mercy,7,19,1,0,0,1,1,1,1,7.6
76,200901145,4,5,8,8,5,58,68,1/14/2009,New Haven,7,19,Assumption,8,18,0,1,0,1,1,1,1,7.6
3455,2015111434,11,34,26,34,26,71,55,11/14/2015,LIU Post,8,17,USciences,7,18,1,0,0,1,1,1,1,8.2
4303,2017120833,13,33,38,33,38,76,68,12/8/2017,Roberts Wesleyan,7,16,Dist. Columbia,6,17,1,0,0,1,1,1,1,8.5
2572,2013012320,8,20,21,20,21,81,76,1/23/2013,Bloomfield,6,15,Concordia (N.Y.),5,16,1,0,0,1,1,1,1,8.7
2565,2013011932,8,32,31,32,31,72,59,1/19/2013,Bridgeport,8,16,St. Thomas Aquinas,7,17,1,0,0,1,1,1,1,8.8
29,200811221,4,1,7,1,7,67,51,11/22/2008,Saint Rose,5,14,So. Connecticut,4,15,1,0,0,1,1,1,1,9
33,200811241,4,1,21,1,21,64,63,11/24/2008,Saint Rose,3,12,Concordia (N.Y.),2,13,1,0,0,1,1,1,1,9.6
0,2009167,4,7,3,3,7,45,61,1/6/2009,So. Connecticut,0,10,American Int'l,1,9,0,1,0,1,1,1,1,11.1
1389,2008120131,4,31,24,24,31,47,52,12/1/2008,St. Thomas Aquinas,1,10,Jefferson,2,9,0,1,0,1,1,1,1,12.2
1625,2009121016,5,16,21,16,21,78,70,12/10/2009,Dominican (N.Y.),5,11,Concordia (N.Y.),4,12,1,0,0,1,1,1,1,12.2
1545,2009021723,4,23,25,25,23,66,83,2/17/2009,Wilmington (Del.),4,11,Holy Family,5,10,0,1,0,1,1,1,1,13.6
997,201612034,12,4,2,4,2,70,64,12/3/2016,Le Moyne,9,29,Adelphi,11,30,1,0,0,1,0,2,0,5.7
3821,2016111130,12,30,18,30,18,75,64,11/11/2016,Daemen,7,28,Caldwell,9,29,1,0,0,1,0,2,0,6
4748,2019010220,14,20,21,20,21,75,73,1/2/2019,Bloomfield,8,27,Concordia (N.Y.),10,28,1,0,0,1,0,2,0,6.1
4558,2018021734,13,34,31,31,34,64,77,2/17/2018,LIU Post,10,25,St. Thomas Aquinas,8,24,0,1,0,1,0,2,0,6.7
1273,201812302,14,2,31,31,2,85,91,12/30/2018,Adelphi,9,25,St. Thomas Aquinas,7,24,0,1,0,1,0,2,0,6.8
1082,201702181,12,1,3,1,3,108,71,2/18/2017,Saint Rose,10,21,American Int'l,12,22,1,0,0,1,0,2,0,6.9
3634,2016011432,11,32,39,32,39,76,72,1/14/2016,Bridgeport,9,21,Molloy,11,22,1,0,0,1,0,2,0,7.1
184,201001066,5,6,10,10,6,72,80,1/6/2010,Pace,10,31,Franklin Pierce,8,32,0,1,1,1,0,2,0,7.3
917,201601228,11,8,6,6,8,61,75,1/22/2016,Assumption,8,20,Pace,6,19,0,1,0,1,0,2,0,8.4
2945,2014013039,9,39,32,39,32,68,58,1/30/2014,Molloy,4,19,Bridgeport,6,20,1,0,0,1,0,2,0,8.9
1144,201712173,13,3,20,20,3,76,90,12/17/2017,American Int'l,7,19,Bloomfield,5,18,0,1,0,1,0,2,0,9
1546,2009021728,4,28,24,24,28,58,67,2/17/2009,Chestnut Hill,8,18,Jefferson,6,17,0,1,0,1,0,2,0,9.1
3793,2016022614,11,14,3,14,3,88,82,2/26/2016,So. New Hampshire,5,24,American Int'l,7,23,1,0,1,1,0,2,0,9.6
2750,2013112013,9,13,10,13,10,68,66,11/20/2013,Saint Michael's,3,18,Franklin Pierce,5,19,1,0,0,1,0,2,0,9.6
3966,2016123110,12,10,34,10,34,86,78,12/31/2016,Franklin Pierce,9,25,LIU Post,11,24,1,0,1,1,0,2,0,9.8
3527,2015120820,11,20,16,20,16,76,61,12/8/2015,Bloomfield,4,17,Dominican (N.Y.),6,18,1,0,0,1,0,2,0,9.8
2435,2012112511,8,11,34,34,11,72,74,11/25/2012,Merrimack,7,16,LIU Post,5,15,0,1,0,1,0,2,0,10.5
1914,2010123015,6,15,25,15,25,84,62,12/30/2010,Stonehill,7,23,Holy Family,9,22,1,0,1,1,0,2,0,10.5
4,20081266,4,6,4,6,4,80,76,12/6/2008,Pace,7,22,Le Moyne,9,21,1,0,1,1,0,2,0,11.1
2674,2013022120,8,20,23,20,23,84,78,2/21/2013,Bloomfield,6,21,Wilmington (Del.),8,20,1,0,1,1,0,2,0,11.4
3291,2015012822,10,22,18,18,22,63,65,1/28/2015,Nyack,4,16,Caldwell,2,15,0,1,0,1,0,2,0,11.7
1532,2009021024,4,24,23,24,23,77,65,2/10/2009,Jefferson,5,12,Wilmington (Del.),7,13,1,0,0,1,0,2,0,12.1
2548,2013011436,8,36,23,36,23,73,72,1/14/2013,NYIT,5,19,Wilmington (Del.),7,18,1,0,1,1,0,2,0,12.6
2368,2012022119,7,19,22,19,22,86,71,2/21/2012,Post,3,13,Nyack,5,14,1,0,0,1,0,2,0,12.6
4442,2018012118,13,18,27,27,18,76,85,1/21/2018,Caldwell,9,18,Goldey-Beacom,7,19,0,1,1,1,0,2,0,13.2
3505,2015120136,11,36,31,31,36,64,85,12/1/2015,NYIT,4,15,St. Thomas Aquinas,2,16,0,1,1,1,0,2,0,14.2
2649,2013021418,8,18,28,28,18,72,75,2/14/2013,Caldwell,6,15,Chestnut Hill,4,16,0,1,1,1,0,2,0,15
1753,2010020223,5,23,26,23,26,73,62,2/2/2010,Wilmington (Del.),2,11,USciences,4,12,1,0,0,1,0,2,0,15.1
2466,2012120616,8,16,20,16,20,69,64,12/6/2012,Dominican (N.Y.),3,15,Bloomfield,5,14,1,0,1,1,0,2,0,15.7
1855,2010112013,6,13,21,13,21,86,79,11/20/2010,Saint Michael's,7,16,Concordia (N.Y.),9,15,1,0,1,1,0,2,0,16.2
5071,20091220223,5,24,1,24,1,70,61,12/20/2009,Jefferson,4,14,Saint Rose,6,13,1,0,1,1,0,2,0,17.6
1829,2010031315,5,15,17,15,17,75,52,3/13/2010,Stonehill,2,9,Felician,4,10,1,0,0,1,0,2,0,17.8
5066,20091202502,5,31,37,37,31,69,80,12/2/2009,St. Thomas Aquinas,4,11,Queens (N.Y.),2,12,0,1,1,1,0,2,0,19.7
1748,2010013032,5,32,37,32,37,81,67,1/30/2010,Bridgeport,2,11,Queens (N.Y.),4,10,1,0,1,1,0,2,0,21.8
4538,2018021410,13,10,8,10,8,80,62,2/14/2018,Franklin Pierce,10,27,Assumption,8,26,1,0,1,1,1,2,1,6.2
867,201512052,11,2,4,2,4,83,76,12/5/2015,Adelphi,9,28,Le Moyne,7,27,1,0,1,1,1,2,1,6.2
4807,2019011832,14,32,33,32,33,90,73,1/18/2019,Bridgeport,11,26,Roberts Wesleyan,9,25,1,0,1,1,1,2,1,6.3
1158,201801101,13,1,15,1,15,88,59,1/10/2018,Saint Rose,11,24,Stonehill,9,23,1,0,1,1,1,2,1,6.7
1075,201702113,12,3,6,3,6,78,69,2/11/2017,American Int'l,8,25,Pace,6,24,1,0,1,1,1,2,1,7
3531,2015120914,11,14,11,14,11,78,63,12/9/2015,So. New Hampshire,8,25,Merrimack,6,24,1,0,1,1,1,2,1,7
4368,2018010331,13,31,35,31,35,106,100,1/3/2018,St. Thomas Aquinas,10,21,Mercy,8,20,1,0,1,1,1,2,1,7.6
4429,2018011939,13,39,30,30,39,74,82,1/19/2018,Molloy,7,21,Daemen,9,22,0,1,1,1,1,2,1,7.6
3848,2016111623,12,23,6,23,6,75,65,11/16/2016,Wilmington (Del.),7,23,Pace,5,22,1,0,1,1,1,2,1,7.7
5073,20091222223,5,24,6,24,6,65,60,12/22/2009,Jefferson,7,23,Pace,5,22,1,0,1,1,1,2,1,7.7
2515,2013010522,8,22,28,28,22,52,66,1/5/2013,Nyack,6,21,Chestnut Hill,8,22,0,1,1,1,1,2,1,7.8
1339,201902234,14,4,1,4,1,71,57,2/23/2019,Le Moyne,7,22,Saint Rose,5,21,1,0,1,1,1,2,1,8
2740,2013111613,9,13,34,13,34,75,65,11/16/2013,Saint Michael's,7,22,LIU Post,5,21,1,0,1,1,1,2,1,8
2733,2013111318,9,18,35,18,35,89,59,11/13/2013,Caldwell,8,21,Mercy,6,20,1,0,1,1,1,2,1,8.1
3631,2016011417,11,17,35,17,35,75,66,1/14/2016,Felician,9,20,Mercy,7,19,1,0,1,1,1,2,1,8.2
3928,2016121017,12,17,22,17,22,62,50,12/10/2016,Felician,6,22,Nyack,4,21,1,0,1,1,1,2,1,8.3
81,200901194,4,4,17,4,17,71,64,1/19/2009,Le Moyne,7,20,Felician,5,19,1,0,1,1,1,2,1,8.7
5121,20110117225,6,37,39,37,39,69,56,1/17/2011,Queens (N.Y.),9,18,Molloy,7,17,1,0,1,1,1,2,1,8.8
3318,2015020418,10,18,17,18,17,84,59,2/4/2015,Caldwell,8,19,Felician,6,18,1,0,1,1,1,2,1,8.8
1238,201811176,14,6,17,6,17,70,56,11/17/2018,Pace,6,20,Felician,4,19,1,0,1,1,1,2,1,8.9
3062,2014030732,9,32,39,32,39,79,75,3/7/2014,Bridgeport,7,19,Molloy,5,18,1,0,1,1,1,2,1,9
62,200901034,4,4,14,4,14,70,53,1/3/2009,Le Moyne,6,19,So. New Hampshire,4,18,1,0,1,1,1,2,1,9.4
1646,2009122220,5,20,3,20,3,99,83,12/22/2009,Bloomfield,6,19,American Int'l,4,18,1,0,1,1,1,2,1,9.4
3837,2016111326,12,26,36,36,26,62,68,11/13/2016,USciences,4,18,NYIT,6,19,0,1,1,1,1,2,1,9.4
4150,2017021813,12,13,8,8,13,88,98,2/18/2017,Saint Michael's,7,15,Assumption,9,16,0,1,1,1,1,2,1,9.6
289,201012191,6,1,39,1,39,78,71,12/19/2010,Saint Rose,8,17,Molloy,6,16,1,0,1,1,1,2,1,9.6
1724,2010012319,5,19,28,19,28,74,70,1/23/2010,Post,5,22,Chestnut Hill,3,23,1,0,0,1,1,2,1,9.7
114,200902188,4,8,10,8,10,93,72,2/18/2009,Assumption,7,17,Franklin Pierce,5,16,1,0,1,1,1,2,1,9.9
1980,2011012232,6,32,36,32,36,84,60,1/22/2011,Bridgeport,6,22,NYIT,4,23,1,0,0,1,1,2,1,9.9
2709,2013031910,8,10,32,10,32,57,52,3/19/2013,Franklin Pierce,5,18,Bridgeport,3,17,1,0,1,1,1,2,1,10.2
3696,2016020310,11,10,12,10,12,79,76,2/3/2016,Franklin Pierce,10,23,Saint Anselm,8,24,1,0,0,1,1,2,1,10.2
3319,2015020419,10,19,22,22,19,77,83,2/4/2015,Post,6,23,Nyack,8,22,0,1,0,1,1,2,1,10.3
4768,2019010818,14,18,16,16,18,55,67,1/8/2019,Caldwell,5,15,Dominican (N.Y.),7,16,0,1,1,1,1,2,1,10.5
534,201212304,8,4,35,4,35,67,56,12/30/2012,Le Moyne,5,17,Mercy,3,16,1,0,1,1,1,2,1,10.6
5180,20131110110,9,24,8,8,24,62,66,11/10/2013,Jefferson,5,22,Assumption,7,21,0,1,0,1,1,2,1,10.6
1295,201901169,14,9,3,9,3,87,79,1/16/2019,Bentley,10,22,American Int'l,8,23,1,0,0,1,1,2,1,10.7
5192,20140215110,9,24,22,24,22,81,80,2/15/2014,Jefferson,6,16,Nyack,4,15,1,0,1,1,1,2,1,10.8
3901,2016120314,12,14,9,14,9,87,67,12/3/2016,So. New Hampshire,9,21,Bentley,7,22,1,0,0,1,1,2,1,11.1
3054,2014030137,9,37,34,37,34,51,46,3/1/2014,Queens (N.Y.),4,19,LIU Post,2,20,1,0,0,1,1,2,1,11.1
2957,2014020230,9,30,36,30,36,84,83,2/2/2014,Daemen,7,20,NYIT,5,21,1,0,0,1,1,2,1,11.2
1984,2011012522,6,22,17,17,22,78,87,1/25/2011,Nyack,5,21,Felician,7,20,0,1,0,1,1,2,1,11.2
758,201412078,10,8,36,8,36,79,73,12/7/2014,Assumption,8,20,NYIT,6,21,1,0,0,1,1,2,1,11.4
